,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
4056,317843545,125.0,Polo Ralph Lauren Solid Silk Repp Tie,462,Polo Ralph Lauren,http://bim.shopstyle.com/pim/fc/ae/fcaeb5dd28ac928740e397087ca6b86d_best.jpg,"Crafted from rich silk repp, this solid-hued tie is a wardrobe essential. <ul> <li>Handmade with a fully fitted interlining.</li> <li>Tip is lined with pure silk twill, which is a hallmark of superior necktie construction.</li> <li>3½"" wide. 100% silk. Dry clean. Imported.</li> </ul>",Ralph Lauren,_solid,_silk,False
4095,464640056,215.0,Ralph Lauren Purple Label Solid Silk Satin Tie,12668,Ralph Lauren Purple Label,http://bim.shopstyle.com/pim/0b/17/0b1778c82075732219a0288935e7840d_best.jpg,"Expertly handmade in Italy, this solid tie is crafted from rich, lustrous silk satin. <ul> <li>Handmade in Italy exclusively for Purple Label.</li> <li>A fully fitted interlining ensures a beautiful drape and a smooth, even knot.</li> <li>Silk twill-lined tip, which is a hallmark of superior necktie construction.</li> <li>3¼"" wide. 100% silk. Dry clean. Made in Italy.</li> </ul>",Ralph Lauren,_solid,_silk,False
4121,464318209,215.0,Ralph Lauren Purple Label Solid Silk Satin Tie,12668,Ralph Lauren Purple Label,http://bim.shopstyle.com/pim/c1/ce/c1ce364b387617c25d433ec6f45a86fa_best.jpg,"Expertly handmade in Italy, this solid tie is crafted from rich, lustrous silk satin. <ul> <li>Handmade in Italy exclusively for Purple Label.</li> <li>A fully fitted interlining ensures a beautiful drape and a smooth, even knot.</li> <li>Silk twill-lined tip, which is a hallmark of superior necktie construction.</li> <li>3¼"" wide. 100% silk. Dry clean. Made in Italy.</li> </ul>",Ralph Lauren,_solid,_silk,False
4157,462831175,29.0,"Neiman Marcus Knit Wool Tie, Black",1724,Neiman Marcus,http://bim.shopstyle.com/pim/8c/9a/8c9a769c17b9a88acb18af69d8ec6479_best.jpg,"<ul> <li>Neiman Marcus woven solid wool tie.</li> <li>Straight, banded end.</li> <li>Approx. 2.5"" at widest.</li> <li>Wool.</li> <li>Imported.</li> </ul>",Last Call by Neiman Marcus,_solid,_wool,False
4202,464433677,49.5,Nordstrom Woven Silk Tie,427,Nordstrom,http://bim.shopstyle.com/pim/ee/27/ee273edbdf4a148c21f636dd9d94c95f_best.jpg,"Go big or go back to solid ties. Bold, eye-catching dots pattern a sharp American-made tie woven in pure silk. <ul> <li>3 1/4"" width; 58"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Nordstrom; made in the USA.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_silk,False
4223,466022673,195.0,Ermenegildo Zegna Solid Circle Grid Woven Silk Tie,1139,Ermenegildo Zegna,http://bim.shopstyle.com/pim/cc/ef/ccef1545ba26a302639903f693f486ac_best.jpg,"A solid circle grid adds modern style to a handsome silk tie with a refined luster. Founded in northern Italy in 1910, Ermenegildo Zegna began as a woolen mill, which soon became known for producing beautiful, high-quality textiles—identified then and now by a signature red seal. The company’s expertise in quality materials persists to this day and can be found in every product they make. <ul> <li>3 1/2"" width; 58 1/2"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Ermenegildo Zegna; made in Italy.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_wool,False
4384,405847935,115.0,David Donahue Woven Silk Tie,1041,David Donahue,http://bim.shopstyle.com/pim/cb/8d/cb8dba5cc0b76a3d27bb978fb2d29b20_best.jpg,"A tasteful luster defines a solid silk tie with timeless style. <ul> <li>Approx. width: 3 1/4""; length: 58"".</li> <li>Silk; dry clean.</li> <li>By David Donahue; made in the USA.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_silk,False
4394,459272649,95.0,HUGO Woven Silk Tie,1291,HUGO,http://bim.shopstyle.com/pim/97/ae/97ae5697684a6ce74050ba532fd6fceb_best.jpg,"Tight two-tone dots mark a sharp Italian tie cut from pure silk. Pair it with a solid dress shirt for a classic formal look. <ul> <li>2 1/2"" width; 59"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Hugo Boss; made in Italy.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_silk,False
4570,459273009,95.0,HUGO Woven Silk Tie,1291,HUGO,http://bim.shopstyle.com/pim/0a/42/0a42f79569039c461fb1493ec6f4dc69_best.jpg,"Tight two-tone dots mark a sharp Italian tie cut from pure silk. Pair it with a solid dress shirt for a classic formal look. <ul> <li>2 1/2"" width; 58"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Hugo Boss; made in Italy.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_silk,False
4673,457164061,170.0,Yves Saint Laurent Beauty Yves Saint Laurent Knit Silk Tie,2263,Yves Saint Laurent,http://bim.shopstyle.com/pim/16/25/1625bc1e9dbfbef44fb98b95c0fa022c_best.jpg,"A handsome solid tie is knit from pure silk in France for a rich textural finish. <ul> <li>3"" width; 58"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Yves Saint Laurent; made in France.</li> <li>Men's Designer.</li> </ul>",Nordstrom,_solid,_silk,False
4888,459604130,85.0,John W. Nordstrom® John W. Nordstrom 'Hillsbrad' Knit Wool Blend Tie,1386,John W. Nordstrom,http://bim.shopstyle.com/pim/35/f8/35f88c7182e3dd4f1045b54f81d42d54_best.jpg,"Knit for a softly textured finish, a solid tie crafted in Italy is cut from a fine wool blend. <ul> <li>3"" width; 58"" length.</li> <li>72% wool, 17% viscose, 11% silk.</li> <li>Dry clean.</li> <li>By John W. Nordstrom; made in Italy.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_wool,False
4958,457519851,29.7,Michael Kors Woven Silk Tie,391,Michael Kors,http://bim.shopstyle.com/pim/17/e4/17e4b8bd1e30944a7f91769423956ef9_best.jpg,A sleek sheen defines a solid-color tie cut from pure silk. <ul> <li>100% silk.</li> <li>Dry clean.</li> <li>By Michael Kors; made in the USA.</li> <li>Men's Furnishings.</li> </ul>,Nordstrom,_solid,_silk,False
5016,436776566,195.0,Ermenegildo Zegna Solid Circle Grid Woven Silk Tie,1139,Ermenegildo Zegna,http://bim.shopstyle.com/pim/cc/ef/ccef1545ba26a302639903f693f486ac_best.jpg,"A solid circle grid adds modern style to a handsome silk tie with a refined luster. Founded in northern Italy in 1910, Ermenegildo Zegna began as a woolen mill, which soon became known for producing beautiful, high-quality textiles—identified then and now by a signature red seal. The company’s expertise in quality materials persists to this day and can be found in every product they make. <ul> <li>3 1/2"" width; 58 1/2"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Ermenegildo Zegna; made in Italy.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,_solid,_wool,False
